compte_courant,historique_credit,epargne,anciennete_emploi,patrimoine,logement,autres_credits,objet_credit,situation_familiale,age,montant_credit,duree_mois,taux_effort,anciennete_logement,nb_credits_en_cours,personnes_a_charge,defaut
pas de compte,credits en cours ok,moins de 100 euros,4 a 7 ans,voiture,proprietaire,aucun,voiture neuve,marie,34,1208,9,2,2,2,0,0
plus de 200 euros,credits en cours ok,moins de 100 euros,plus de 7 ans,voiture,proprietaire,credit dans un magasin,voiture neuve,marie,45,2739,18,3,1,2,2,0
0 a 200 euros,tous rembourses,500 a 1000 euros,1 a 4 ans,voiture,proprietaire,aucun,reparations,celibataire,20,1799,27,3,4,1,2,0
solde negatif,tous rembourses,moins de 100 euros,4 a 7 ans,immobilier,proprietaire,aucun,tv hifi,divorce,49,1406,60,4,3,2,0,0
pas de compte,tous rembourses,moins de 100 euros,4 a 7 ans,immobilier,proprietaire,credit dans un magasin,equipement maison,marie,75,4140,21,4,3,1,1,0
pas de compte,credits en cours ok,moins de 100 euros,plus de 7 ans,immobilier,locataire,aucun,equipement maison,celibataire,33,807,32,4,4,1,0,0
pas de compte,tous rembourses,moins de 100 euros,plus de 7 ans,assurance vie,proprietaire,aucun,tv hifi,marie,31,3665,27,1,2,1,0,0
0 a 200 euros,tous rembourses,moins de 100 euros,sans emploi,assurance vie,proprietaire,credit dans une autre banque,voiture neuve,celibataire,32,3995,22,4,1,1,0,0
solde negatif,credits en cours ok,pas d epargne,4 a 7 ans,voiture,proprietaire,aucun,voiture occasion,marie,35,1296,17,4,1,1,0,0
0 a 200 euros,credits en cours ok,moins de 100 euros,sans emploi,immobilier,proprietaire,aucun,voiture neuve,celibataire,30,1352,20,1,2,1,0,0
pas de compte,credits en cours ok,pas d epargne,1 a 4 ans,immobilier,locataire,aucun,voiture occasion,divorce,19,2079,5,4,1,1,0,0
plus de 200 euros,aucun credit,pas d epargne,1 a 4 ans,assurance vie,proprietaire,aucun,electromenager,marie,32,2990,33,2,3,2,1,1
0 a 200 euros,tous rembourses,500 a 1000 euros,1 a 4 ans,voiture,proprietaire,aucun,voiture occasion,marie,24,2186,11,4,2,2,0,1
pas de compte,defauts passes,pas d epargne,1 a 4 ans,immobilier,proprietaire,aucun,voiture neuve,celibataire,36,3335,16,3,2,1,1,0
pas de compte,tous rembourses,moins de 100 euros,4 a 7 ans,voiture,proprietaire,aucun,equipement maison,marie,51,8685,28,3,4,1,0,0
pas de compte,tous rembourses,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,aucun,etudes,marie,24,1693,26,4,2,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,4 a 7 ans,aucun,locataire,credit dans une autre banque,voiture occasion,marie,58,710,27,3,4,3,0,0
solde negatif,credits en cours ok,500 a 1000 euros,1 a 4 ans,aucun,proprietaire,aucun,voiture neuve,marie,30,4423,12,1,2,1,0,1
solde negatif,tous rembourses,pas d epargne,moins de 1 an,assurance vie,proprietaire,aucun,equipement maison,marie,25,8201,22,4,3,1,1,1
pas de compte,defauts passes,moins de 100 euros,plus de 7 ans,immobilier,proprietaire,credit dans une autre banque,tv hifi,divorce,42,3238,30,4,4,1,1,1
solde negatif,tous rembourses,plus de 1000 euros,1 a 4 ans,assurance vie,proprietaire,aucun,tv hifi,marie,29,1115,13,4,1,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,aucun,reparations,divorce,33,2232,48,3,3,1,1,0
pas de compte,tous rembourses,500 a 1000 euros,4 a 7 ans,voiture,loge gratuitement,aucun,business,divorce,34,1091,17,1,4,1,2,0
pas de compte,aucun credit,pas d epargne,1 a 4 ans,voiture,proprietaire,credit dans une autre banque,electromenager,marie,41,3877,5,4,3,2,1,0
solde negatif,tous rembourses,moins de 100 euros,sans emploi,voiture,loge gratuitement,credit dans une autre banque,tv hifi,celibataire,33,922,16,1,2,2,0,1
0 a 200 euros,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,proprietaire,aucun,equipement maison,marie,32,1966,38,1,2,2,1,1
pas de compte,tous rembourses,moins de 100 euros,plus de 7 ans,assurance vie,proprietaire,aucun,voiture neuve,divorce,30,1184,10,4,4,1,0,0
solde negatif,tous rembourses,plus de 1000 euros,4 a 7 ans,immobilier,locataire,credit dans une autre banque,autre,celibataire,40,2674,10,2,4,1,2,0
solde negatif,credits en cours ok,moins de 100 euros,4 a 7 ans,voiture,proprietaire,aucun,equipement maison,marie,28,1875,24,1,1,2,0,0
pas de compte,tous rembourses,moins de 100 euros,4 a 7 ans,assurance vie,locataire,credit dans une autre banque,voiture neuve,divorce,52,2772,9,3,1,2,0,1
solde negatif,defauts passes,moins de 100 euros,moins de 1 an,voiture,proprietaire,aucun,tv hifi,celibataire,34,2480,9,1,2,1,0,1
pas de compte,credits en cours ok,moins de 100 euros,1 a 4 ans,immobilier,proprietaire,aucun,voiture occasion,marie,19,1199,11,2,2,1,0,0
pas de compte,credits en cours ok,moins de 100 euros,plus de 7 ans,immobilier,proprietaire,aucun,tv hifi,celibataire,37,3833,43,1,2,1,2,0
plus de 200 euros,retards passes,plus de 1000 euros,moins de 1 an,aucun,proprietaire,aucun,tv hifi,celibataire,40,2356,25,2,2,1,0,0
plus de 200 euros,retards passes,moins de 100 euros,1 a 4 ans,immobilier,locataire,aucun,equipement maison,marie,52,1198,19,4,2,2,0,0
0 a 200 euros,tous rembourses,moins de 100 euros,1 a 4 ans,aucun,proprietaire,aucun,reparations,celibataire,26,12252,12,4,2,2,2,0
pas de compte,credits en cours ok,pas d epargne,1 a 4 ans,aucun,proprietaire,aucun,voiture occasion,celibataire,25,3439,30,3,4,1,0,0
pas de compte,tous rembourses,pas d epargne,plus de 7 ans,voiture,loge gratuitement,aucun,equipement maison,divorce,42,2186,26,3,2,1,0,0
0 a 200 euros,retards passes,moins de 100 euros,moins de 1 an,voiture,proprietaire,credit dans une autre banque,tv hifi,celibataire,49,6761,45,1,2,2,0,0
solde negatif,credits en cours ok,moins de 100 euros,1 a 4 ans,voiture,loge gratuitement,aucun,tv hifi,veuf,26,9192,10,1,2,1,0,0
pas de compte,credits en cours ok,100 a 500 euros,moins de 1 an,aucun,proprietaire,aucun,tv hifi,veuf,37,2198,9,2,4,2,0,1
