variable,iv
compte_courant,0.587463577549273
historique_credit,0.1294339047512177
epargne,0.08841973872318934
taux_effort,0.0688330207121064
montant_credit,0.06867445523544667
anciennete_emploi,0.05684813327042054
situation_familiale,0.0566178928845128
patrimoine,0.04385672532006216
logement,0.03584665272925867
autres_credits,0.019430316287730908
age,0.01865999669346169
duree_mois,0.017143952170916202
nb_credits_en_cours,0.007778465854650184
personnes_a_charge,0.006388267929360396
objet_credit,0.002588824390173495
anciennete_logement,0.00037749441193933
